Empresa_ID,Empresa,website,CIF,enlace CIF
941201,ISMS Forum,http://www.ismsforum.es,G84994888,https://www.ismsforum.es/legal.php
1507829,Interactiv4,http://interactiv4.com,B87012654,http://interactiv4.com/politica-de-privacidad/
74491290,Bel Community,http://www.bel.community,B67636126,http://www.bel.community/politicas-de-privacidad
14026941,Solid. Lead generation & CRM company,https://www.solidteam.es,B67391318,https://www.solidteam.es/aviso-legal
11253234,Polaroo,https://www.polaroo.com/?utm_campaign=bio&utm_medium=Social&utm_source=Linkedin,B67087403,https://www.polaroo.com/politica-privacidad
11253713,Consentio,http://www.consentio.co,B66734690,http://www.consentio.co/legal/privacy-policy
14803270,Antidote | UX & Playtesting Solution for Game Developers & Publishers,https://antidote.gg,B66471665,https://antidote.gg/sekg-gamers-privacy-policy/
5088711,Teradisk Consulting SL,http://teradisk.com,B66443375,https://teradisk.com/condiciones-para-candidatos/
2600268,Worktocloud,https://www.worktocloud.es,B66295445,https://www.worktocloud.es/privacity.php?tipo=office&idiomaseleccionado=
769901,Worldsensing,http://www.worldsensing.com,B64902208,https://www.worldsensing.com/legal-notice/
205310,KEAPPS,http://www.keapps.com,B63065494,http://www.keapps.com/aviso-legal
893277,Profile Software Services,https://profile.es/,B62521828,https://profile.es/legal/
2414685,Servicios de Internet Javajan,https://javajan.es,B61950127,https://javajan.es/politica-de-cookies/
1127356,"Voxel, an Amadeus company",http://www.voxelgroup.net,B61741898,https://www.voxelgroup.net/legal-notice/
10880108,My Magic Story,http://www.mymagicstory.com,B44865111,https://www.mymagicstory.com/privacy-policy
69666189,Bleta,https://bleta.io,B06961601,https://bleta.io/politica-de-privacidad/
10400468,Connectif Artificial Intelligence,http://www.connectif.ai,B05509641,https://connectif.ai/politica-de-privacidad/
2251697,SACOEL,https://www.sacoel.com,A58147901,https://www.sacoel.com/politica-de-privacidad
2207501,Webimpacto,http://www.webimpacto.consulting,B45814670,https://webimpacto.consulting/aviso-legal/
42927407,BeOneSec (Cybersecurity),http://www.beonesec.com,B90411919,https://www.beonesec.com/aviso-legal/
562674,Dantex Group,http://www.dantexgroup.com,B42891846,https://www.dantexgroup.com/legal-warning
27452819,Peninsula - Corporate Innovation,https://peninsula.co,B 66585613,https://peninsula.co/casos-de-uso/aena-ventures-la-revolucion-aeroportuaria
76540383,Tattoox,https://wearetattoox.com,None,None
2358969,BYHOURS,https://www.byhours.com/en.html,None,None
651653,Servicetonic,https://www.servicetonic.com/es/,B65201964,https://www.servicetonic.com/es/politica-de-privacidad/
9293554,Datamonplus,http://www.datamonplus.com,None,None
466585,Emailing Network,www.emailingnetwork.com,None,None
97166,SEIDOR Opentrends,http://www.opentrends.net,None,None
1562376,Ingens Networks | Servicios gestionados,http://www.ingens-networks.com,None,None
131168,Omega Peripherals,http://www.omega-peripherals.com,None,None
