Empresa_ID,Etiquetas_Empresas,Contactos_por_Empresa,Empresa,Descripción_empresa,Sector_EMILIO,Tipo,Tamaño,Url_LinkedIn,website,Localización_Empresa,Revisión,Extra,TagsCompHSK,Contactos1,Contactos2,Contactos3,CIF
941201,Posible patrono,11,ISMS Forum,"El Foro de ISMS, es una organización sin fines de lucro fundada en 2007 para promover el desarrollo, el conocimiento y la cultura de la seguridad de la información un acto en beneficio de toda la comunidad involucrada en el sector.","Seguridad y Ciberseguridad,Servicios de eventos",B2B,11-50,https://www.linkedin.com/company/ismsforum/,http://www.ismsforum.es,"ES Madrid Madrid Calle Segre, 29 1ºB 28002",2024-08-06 23:34,Español,"EMP: Contactos de Madrid,EMP: Karting24May22,Empresa Contacto Sol Especial 31-03-23,Empresa Nivel 4,Empresa_Interes_05-06-23,EMP: Posible Patrono en Hoja Negocio Nov23,TASK:16-02 Parte2 Sin Evento 18 abril,Sponsor Hoja Negocio 09-08-2024,Empresa de Madrid 07-2024","DanielGarcía Sánchez - 96339304,CarlosSaiz Peña - 42498008,DanielLargacha Lamela - 114451088","CarlosMartinez Wahnon - 168180345,JesúsValverde Romero - 27049166,DavidMoreno del Cerro - 4721877,JesúsDorado - 19895931","ToniGarcía - 112163728,ManelMedina - 5513612,LuisParedes - 31109493,SergioPadilla Foubelo - 126205499",G84994888
1507829,Posible patrono,7,Interactiv4,"Somos parte de WAM Global. Caminamos juntos porque sabemos que el éxito está en la confluencia de estrategia, tecnología y creatividad para la transformación digital completa de tu negocio. #ecommerce #adobecommerce #magento #mageos #salesforcecommerce #shopify #shopifyplus #akeneo #mirakl Interactiv4 no es solo un proveedor de soluciones de comercio electrónico, somos un verdadero socio de todos y cada uno de nuestros clientes.",Software,B2B,51-200,https://www.linkedin.com/company/interactiv4/,http://interactiv4.com,"ES Madrid Comunidad de Madrid Calle Orense 34 Torre Norte, Piso 10 28020",2024-06-14 18:25,Español,"EMP: Contactos de Madrid,LZ: AltoeComm,LZ: Verificado,EMP: Posible Patrono en Hoja Negocio Nov23,Empresa de Madrid 07-2024,Sponsor Hoja Negocio 09-08-2024","PatriciaVelasco Leal - 111516886,EmilioDe las Sías - 52727130,FerranVerdejo - 152153770,JavierRupérez - 64988331,ManuelRecio - 59120772,MireiaLlop Saladelafont - 93129328,IgnacioRiesco - 22653901",,,B87012654
76540383,Web & Apps,2,Tattoox,Tattoox es la mayor comunidad del tattoo.,"Servicios al consumidor,Software",B2B,51-200,https://www.linkedin.com/company/tattoox/,https://wearetattoox.com,ES Barcelona Catalonia,2024-10-27 22:58,,"Task:22-12-23_Buscar contactos,Empresa de Barcelona 07-2024,Tarea_31-01-25",JoelOrteu - 739176691,BertaMadueño - 414721611,,B67709097
74491290,Web & Apps,2,Bel Community,"En Bel, creemos que cada estudiante es único, por eso, los impulsamos a desarrollar su máximo potencial para construir un futuro con propósito.  ¡DESPIERTA TU POTENCIAL!  Somos una EduTech que combinamos Inteligencia Artificial, tecnología y el mejor equipo humano para crear una App que hace que el aprendizaje vaya más allá.   ¿Qué nos hace únicos?  #1 Tutor ideal En minutos encontramos al tutor ideal para garantizar una alta compatibilidad con el alumno a nivel educativo y personal.  #2 Bel App: Evolución y Visibilidad Bel App ofrece un marco intuitivo para gestionar y hacer un seguimiento del progreso, garantizando la escalabilidad y la evolución continua tanto de la tecnología como de los resultados educativos.  #3 Programa “We Go Beyond School” Nuestro programa BelKit brinda a los estudiantes habilidades sociales y de vida, complementando su educación formal y preparándolos para el éxito en todas las áreas de la vida.  #4 Coordinadores Bel: Apoyo Educativo Nuestros coordinadores expertos - psicopedagogos - guían cada recorrido de aprendizaje, ofreciendo un acompañamiento personalizado y agilizando la comunicación con la familia.  Contáctanos y encuentra el profesor particular ideal para cada uno de tus hijos y llevemos la educación más allá. Tenemos clases online en todo México y España (presencial en Madrid y Barcelona).   NUESTRA HISTORIA  Como muchos hoy en día, nacimos de la pandemia. De encontrar la oportunidad de crear una solución integral para padres que buscaban equilibrar el trabajo y la educación de sus hijos.   Pero descubrimos mucho más. Un mundo en donde el impacto y el potencial surgen de tres grandes actores: estudiantes, padres y profesores.  Nos convertimos en una EdTech centrada en la singularidad de cada alumno y en hacer que la educación sea cercana, atractiva pero por sobre todo que desarrolle el máximo potencial de nuestros alumnos para construir un futuro con propósito.","Servicios al consumidor,Formación,Software",B2B,11-50,https://www.linkedin.com/company/bel-community/,http://www.bel.community,ES Madrid nan,2024-10-27 22:52,,"Task:22-12-23_Buscar contactos,Empresa Madrid,Empresa de Madrid 07-2024,Tarea_31-01-25",,"JosefinaBustamante - 428425633,JavierCamacho Barrientos - 81998404",,B67636126
14026941,"Agencias,Agencia de SEO SEM y posicionamiento web",4,Solid. Lead generation & CRM company,Solid es una compañía de generación de demanda y CRM para clientes que buscan llevar sus resultados a otro nivel.  Somos partners Diamond de HubSpot y única empresa de España doblemente acreditada por HubSpot para hacer implementaciones de CRM nivel Enterprise + integraciones con otras plataformas.,"Agencias,Software,Soluciones marketing",B2B,11-50,https://www.linkedin.com/company/solid-agencia/,https://www.solidteam.es,"ES Barcelona Barcelona Passeig de Garcia Fària, 49 08019",2024-10-07 3:59,Español,"EMP: Contactos de Madrid,Empresa de Barcelona 07-2024","TesselMichaud - 338148786,PauCalderón - 17075836",YolandaAnsó Estarriaga - 14602052,DanielJurado - 78277681,B67391318
11253234,,2,Polaroo,Estamos construyendo el software financiero de próxima generación y los productos de crédito para SMB en el mundo occidental (UE - EE. UU.,Software,B2B,11-50,https://www.linkedin.com/company/polarooappcontroldegastos/,https://www.polaroo.com/?utm_campaign=bio&utm_medium=Social&utm_source=Linkedin,,2022-03-10 8:56,Checked / CheckAgain,"SaaS-EspLink-Jan-23,Check_Again_VE-1 26-08-23",SergioSánchez - 325066068,AlvaroCórdoba - 338216236,,B67087403
11253713,,7,Consentio,"El consentimiento es la nueva plataforma digital que aprovecha la tecnología para optimizar los procesos de negociación. Transformamos lo antiguo y el complejo en lo nuevo y ágil. Desde un espacio único, desde su teléfono inteligente o computadora, descubra la forma perfecta de realizar sus transacciones diarias. Nuestra lógica de interfaz de usuario de última generación se adapta completamente a la lógica de su negocio.",Software,B2B,11-50,https://www.linkedin.com/company/consentio/,http://www.consentio.co,,2021-12-17 10:10,Revisado 30-10-23,"EMP: Contactos de Madrid,LZ: medioeComm,LZ: Verificado,Empresa Contacto Sol Especial 31-03-23,Empresa Nivel 4","VincentRosso - 2205787,MaylisChevalier - 25973505,BenoitVandevivere - 421771","JulienMoutte - 12084901,BenoitVandevivere - 421771","NicolasLindemann - 15998356,AntonioRobert Aragonés - 266392",B66734690
14803270,,1,Antidote | UX & Playtesting Solution for Game Developers & Publishers,Antidote es una solución UX / PlayTesting basada en la nube para ayudar a los estudios y editores de videojuegos para administrar sus propias posiciones de juego y ejecutar estudios de UX de forma remota. Obtenga información más rápida y objetiva sobre la experiencia de los jugadores que ahorrará costos y tiempo.,Software,B2B,11-50,https://www.linkedin.com/company/antidote.gg/,https://antidote.gg,,2022-03-28 9:05,,,JoãoEça - 95883131,,,B66471665
5088711,Posible patrono,8,Teradisk Consulting SL,Somos expertos en cloud (private cloud propio o administrando infraestructuras en AWS-GCP-Azure) especializados en:  - Servicios gestionados - Entornos redundados en alta disponibilidad y alta concurrencia - Operaciones de sistemas y 24x7 - Monitorización proactiva y reactiva - Arquitectura de sistemas distribuidos cloud - managed security service provider con SOC 24x7 - pentesting - stress tests - auditorías de seguridad y compliance - acompañamiento hacia la nube,Tecnología,B2B,11-50,https://www.linkedin.com/company/teradisk-net/,http://teradisk.com,"ES Vilafranca del Penedès BARCELONA 08720 n18, 1er piso 08720",2024-06-14 18:02,Español,"BNC Exportación 5,Empresa_posible_patrono_NO_hoja_negocios_nov_23,Empresa_Posible_Patrono_Nov_23_2_Contactos,TASK_2_17-01-24_Blue,TASK:16-02 Parte2 Sin Evento 18 abril,Empresa de Barcelona 07-2024,Sponsor Hoja Negocio 09-08-2024","JordiMolina - 15059169,DavidAguilar - 18416058,OmarCasterà - 243620634,AngelFerreiro Albajara - 149820799,AbelBaile - 82260923","OmarCasterà - 243620634,AngelFerreiro Albajara - 149820799",OmarCasterà - 243620634,B66443375
2600268,Posible patrono,1,Worktocloud,"La misión de Worktocloud.es es la de proporcionar herramientas que:  1.- Faciliten el trabajo desde casa 2.- Ayuden a los managers a supervisar a los trabajadores 3.- Midan la productividad de los trabajadores Con esto pretendemos hacer más fácil la vida de las empresas y de las personas.  En un futuro inmediato, la mayoría de los trabajos serán el resultado de la interacción entre: - personas - ordenadores - internet  Es por eso, que con nuestras herramientas queremos facilitar la vida de: - personas - empresas.  La vida de las personas puede mejorar substancialmente disfrutando de las medidas del teletrabajo: - disponibilidad de más tiempo para estar con la familia y seres queridos - flexibilidad de horarios - ahorro de tiempo y dinero al evitarse inútiles desplazamientos al lugar de trabajo - menos accidentes de tráfico - aumento de la productividad desde casa.  Las empresas pueden mejorar sus resultados gracias a trabajator por multiples vías: - trabajadores más felices por trabajar desde casa - supervisión automatizada de trabajadores  - medición exacta de su productividad y de sus tareas desempeñadas - reducción de costes al necesitar menos espacio, menos mobiliario y menos consumo eléctrico - control total de todas las actividades que se desempeñan en la empresa - mayor seguridad al tener un registro exhaustivo de todo el trabajo realizado - menos tiempos muertos  En conclusión, es nuestra misión crear una nueva disciplina de trabajo adaptada al s.XXI donde las nuevas tecnologías ayuden tanto a trabajadores como a empresas brindándole más eficiencia y libertad.","Mobiliario,Software",B2B,11-50,https://www.linkedin.com/company/worktocloud/,https://www.worktocloud.es,ES Terrassa Cataluña / Catalunya,2024-11-21 0:48,Sin Info de LH,"Empresa_posible_patrono_NO_hoja_negocios_nov_23,Empresa_Posible_Patrono_Nov_23_2_Contactos,Empresa de Barcelona 07-2024",OriolTinoco Marco - 185069625,,,B66295445
